-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.1124979999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.16231 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.212123999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.2619359999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.31175 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.361561999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xFA; 0xFF; 0xCF; 0x3C           6.412368 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.461188 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.511994 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.560814 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.610678 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.661434 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.710254 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.7600999999999996 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.80988 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.859693999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.9095059999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           6.95932 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.009131999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.058946 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.108758 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.1585719999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.208384 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.258246 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.3090019999999996 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.357824 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.407635999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF9; 0xFF; 0xCF; 0x3C           7.45745 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.507262 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.5570759999999995 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.60788 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.656701999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.706513999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.75732 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.80614 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.855954 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.906759999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           7.955579999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.005392 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.056198 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.105018 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.155823999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.204644 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.254458 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.304272 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.354084 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.403898 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF8; 0xFF; 0xCF; 0x3C           8.45371 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.503523999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.553336 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.604142 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.652962 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.702776 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.752588 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.802401999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.852214 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.902028 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           8.951839999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.002646 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.051466 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.10128 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.151092 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.200906 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.25171 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.300582 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.350344 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.400158 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF7; 0xFF; 0xCF; 0x3C           9.450004 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.499784 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.550606 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.599409999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.649222 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.700044 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.748847999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.798662 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.849484 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.898287999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.948134 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           9.998922 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.047728 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.09754 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.147354 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.197166 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.246979999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.296792 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.346606 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.397428 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xF6; 0xFF; 0xCF; 0x3C           10.446232 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.496044 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.545857999999999 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.59567 (sec)
-> 0x34; 0xBE; 0xFD; 0xFF; 0xEF; 0xFF; 0xCF; 0x3C           10.646492 (sec)
